id,name,username,party
2916086925,Rep. Alma Adams,RepAdams,D
76452765,Robert Aderholt,Robert_Aderholt,R
3018670151,Rep. Pete Aguilar,RepPeteAguilar,D
1612483604071727104,Mark Alford,RepMarkAlford,R
2964287128,Rick W. Allen,RepRickAllen,R
1078355119920562176,Rep. Colin Allred,RepColinAllred,D
1724849796496924672,Congressman Gabe Amo,RepGabeAmo,D
402719755,Rep. Mark Amodei,MarkAmodeiNV2,R
1080515866255593472,Congressman Kelly Armstrong,RepArmstrongND,R
816284664658874368,Rep. Jodey Arrington,RepArrington,R
1330278736554582016,Rep. Jake Auchincloss 🟧,RepAuchincloss,D
2929491549,Brian Babin,RepBrianBabin,R
818975124460335106,Rep. Don Bacon 🇺🇸,RepDonBacon,R
1086316494450032640,Congressman Jim Baird,RepJimBaird,R
1037341536592310272,Congressman Troy Balderson,RepBalderson,R
1606115178210365448,Rep. Becca Balint,RepBeccaB,D
816131319033950208,Jim Banks,RepJimBanks,R
1089334250,Rep. Andy Barr,RepAndyBarr,R
816833925456789505,Nanette D. BarragÃ¡n,RepBarragan,D
1604927550081359875,Aaron Bean,RepAaronBean,R
1531521632,Rep. Joyce Beatty,RepBeatty,D
1345788865911656454,Congressman Cliff Bentz,RepBentz,R
950783972,"Ami Bera, M.D.",RepBera,D
815241612154417152,Rep. Jack Bergman,RepJackBergman,R
2962868158,Rep. Don Beyer,RepDonBeyer,D
1344260196227555334,Rep. Stephanie Bice,RepBice,R
816652616625168388,Rep Andy Biggs,RepAndyBiggsAZ,R
26051676,Gus Bilirakis,RepGusBilirakis,R
1176522535531360257,Rep. Dan Bishop,RepDanBishop,R
249410485,"Sanford Bishop, Jr.",SanfordBishop,D
15954997,Earl Blumenauer,repblumenauer,D
817050219007328258,Rep. Lisa Blunt Rochester,RepLBR,D
1342989756611907584,Rep. Lauren Boebert,RepBoebert,R
558769636,Suzanne Bonamici,RepBonamici,D
2964877294,Rep. Mike Bost,RepBost,R
1344389506963808264,Congressman Jamaal Bowman,RepBowman,D
4304448314,Rep. Brendan Boyle,CongBoyle,D
1603032402942730248,Congressman Josh Brecheen,RepBrecheen,R
1456381091598700556,Rep. Shontel Brown,RepShontelBrown,D
1243902714,Congresswoman Julia Brownley,RepBrownley,D
20467163,Rep. Vern Buchanan,VernBuchanan,R
2862577383,Rep. Ken Buck,RepKenBuck,R
234812598,"Larry Bucshon, MD",RepLarryBucshon,R
1603476713995911168,Rep. Nikki Budzinski,RepNikkiB,D
1028854804087492613,Rep. Tim Burchett,RepTimBurchett,R
15751083,"Michael Burgess, MD",michaelcburgess,R
1606342594765590528,Rep. Eric Burlison,RepEricBurlison,R
1002630999052865536,Congresswoman Cori Bush,RepCori,D
22545491,Rep. Ken Calvert,KenCalvert,R
1344325638983987201,Rep. Cammack Press Office,RepKatCammack,R
1610302050474102784,"Congresswoman Yadira Caraveo, MD",RepCaraveoMD,D
816157667882373120,Rep. Salud Carbajal,RepCarbajal,D
1222257180,Rep. Tony CÃ¡rdenas,RepCardenas,D
1457745193197780993,Congressman Mike Carey,RepMikeCarey,R
1341091420439015424,Rep. Jerry Carl,RepJerryCarl,R
199325935,AndrÃ© Carson,RepAndreCarson,D
2973870195,Buddy Carter,RepBuddyCarter,R
18030431,Rep. John Carter,JudgeCarter,R
1352760304271241218,Congressman Troy A. Carter,RepTroyCarter,D
776664410,Matt Cartwright,RepCartwright,D
1499512178013057032,Congressman Greg Casar,RepCasar,D
1081350574589833221,Rep. Ed Case,RepEdCase,D
1083472286089396224,Rep. Sean Casten,RepCasten,D
1880674038,U.S. Rep. Kathy Castor,USRepKCastor,D
231510077,Joaquin Castro,JoaquinCastrotx,D
1583530102297600000,Rep. Lori Chavez-DeRemer,RepLCD,
1484252226646421505,Congresswoman Sheila Cherfilus-McCormick,CongresswomanSC,D
193732179,Judy Chu,RepJudyChu,D
1603530970593775616,Congressman Juan Ciscomani,RepCiscomani,R
2293131060,Katherine Clark,WhipKClark,D
240812994,Yvette D. Clarke,RepYvetteClarke,D
163570705,Rep. Emanuel Cleaver,repcleaver,D
1072158357237174272,Congressman Ben Cline,RepBenCline,R
1039879658400112640,Congressman Michael Cloud,RepCloudTX,R
1357017361568694274,Rep. Andrew Clyde,Rep_Clyde,R
162069635,Steve Cohen,RepCohen,D
23124635,Rep. Tom Cole,TomColeOK04,R
1601030771124408325,Rep. Mike Collins,RepMikeCollins,R
1274852794206388225,Rep. James Comer,RepJamesComer,R
78445977,Rep. Gerry Connolly,GerryConnolly,D
815985039485837312,Rep. Lou Correa,RepLouCorrea,D
245451804,Rep. Jim Costa,RepJimCosta,D
85396297,Rep. Joe Courtney,RepJoeCourtney,D
1080222360643485698,Angie Craig,RepAngieCraig,D
1608891205902794753,Rep. Eli Crane,RepEliCrane,D
233693291,Rep. Rick Crawford,RepRickCrawford,R
1080894931311431682,Rep. Dan Crenshaw,RepDanCrenshaw,R
1609974443631157248,Congresswoman Jasmine Crockett,RepJasmine,D
1080191866509901826,Rep. Jason Crow,RepJasonCrow,D
210926192,Rep. Henry Cuellar,RepCuellar,D
931614483050414080,Rep. John Curtis,RepJohnCurtis,R
1080516116395499522,Rep. Sharice Davids,RepDavids,D
742735530287304704,Warren Davidson 🇺🇸,WarrenDavidson,R
789244177,Rep. Danny K. Davis,RepDannyDavis,D
1610323296360210433,Congressman Don Davis,RepDonDavis,D
1590396129094647814,Rep. Monica De La Cruz,RepMonicaDLC,R
567508925,Congresswoman Madeleine Dean,RepDean,D
140519774,Rosa DeLauro,rosadelauro,D
995193054,Rep. Suzan DelBene,RepDelBene,D
1608934316779921408,Congressman Chris Deluzio,RepDeluzio,D
2968007206,Mark DeSaulnier,RepDeSaulnier,D
235312723,Scott DesJarlais,DesJarlaisTN04,R
1608215359462559746,Rep. Anthony Dâ€™Esposito,RepDesposito,R
37094727,Mario DÃ­az-Balart,MarioDB,R
2970279814,Rep. Debbie Dingell,RepDebDingell,D
153944899,Lloyd Doggett,RepLloydDoggett,D
1343968646050283522,Congressman Byron Donalds,RepDonaldsPress,R
1613250027878490137,Rep. John Duarte (CA-13),RepDuarteCA13,R
240393970,Rep. Jeff Duncan,RepJeffDuncan,R
815952318487298048,Dr. Neal Dunn,DrNealDunnFL2,R
1366523868253458437,Rep. Jake Ellzey,RepEllzey,R
2914515430,Tom Emmer,GOPMajorityWhip,R
1075517806551154689,Rep. Veronica Escobar,RepEscobar,D
249348006,Rep. Anna G. Eshoo,RepAnnaEshoo,D
817076257770835968,Adriano Espaillat,RepEspaillat,D
854715071116849157,Rep. Ron Estes,RepRonEstes,R
90639372,Congressman Dwight Evans🟧,RepDwightEvans,D
1602788004749344768,Congressman Mike Ezell,RepEzell,R
1343258042704527362,Rep. Pat Fallon,RepPatFallon,R
1345135363761852416,Rep. Randy Feenstra,RepFeenstra,R
806583915012046854,Congressman Drew Ferguson,RepDrewFerguson,R
1563316176717246464,Congressman Brad Finstad,RepFinstad,
1344375287484723205,Rep. Michelle Fischbach,RepFischbach,R
1004891731,Rep. Scott Fitzgerald,RepFitzgerald,R
816303263586914304,Rep. Brian Fitzpatrick 🇺🇸,RepBrianFitz,R
235190657,Chuck Fleischmann,RepChuck,R
1075904377221722113,Rep. Lizzie Fletcher,RepFletcher,D
1547025742529167360,Rep. Mike Flood,USRepMikeFlood,R
1080509366,Congressman Bill Foster,RepBillFoster,D
1611471154732060692,Congresswoman Valerie Foushee,ValerieFoushee,D
16256269,Virginia Foxx,virginiafoxx,R
1077121945,Rep. Lois Frankel,RepLoisFrankel,D
1343664721384398849,Congressman Scott Franklin,RepFranklin,R
1608494113174822925,Congressman Maxwell Alejandro Frost,RepMaxwellFrost,D
1603514304354983941,Congressman Russell Fry,RepRussellFry,R
1078741899572240384,Rep. Russ Fulcher,RepRussFulcher,R
818948638890217473,Rep. Matt Gaetz,RepMattGaetz,R
815966620300480514,Rep. Gallagher Press Office,RepGallagher,R
2966570782,Ruben Gallego,RepRubenGallego,D
88806753,John Garamendi,RepGaramendi,D
1344349650447433729,Rep. Andrew Garbarino,RepGarbarino,R
1262531473057423361,Rep. Mike Garcia,RepMikeGarcia,R
